Estimations_Bayes_h80_R100_  1,Estimations_Bayes_h80_R100_  2,Estimations_Bayes_h80_R100_  3,Estimations_Bayes_h80_R100_  4,Estimations_Bayes_h80_R100_  5,Estimations_Bayes_h80_R100_  6,Estimations_Bayes_h80_R100_  7,Estimations_Bayes_h80_R100_  8,Estimations_Bayes_h80_R100_  9,Estimations_Bayes_h80_R100_ 10,Estimations_Bayes_h80_R100_ 11,Estimations_Bayes_h80_R100_ 12,Estimations_Bayes_h80_R100_ 13,Estimations_Bayes_h80_R100_ 14,Estimations_Bayes_h80_R100_ 15,Estimations_Bayes_h80_R100_ 16,Estimations_Bayes_h80_R100_ 17,Estimations_Bayes_h80_R100_ 18,Estimations_Bayes_h80_R100_ 19,Estimations_Bayes_h80_R100_ 20,Estimations_Bayes_h80_R100_ 21,Estimations_Bayes_h80_R100_ 22,Estimations_Bayes_h80_R100_ 23,Estimations_Bayes_h80_R100_ 24,Estimations_Bayes_h80_R100_ 25,Estimations_Bayes_h80_R100_ 26,Estimations_Bayes_h80_R100_ 27,Estimations_Bayes_h80_R100_ 28,Estimations_Bayes_h80_R100_ 29,Estimations_Bayes_h80_R100_ 30,Estimations_Bayes_h80_R100_ 31,Estimations_Bayes_h80_R100_ 32,Estimations_Bayes_h80_R100_ 33,Estimations_Bayes_h80_R100_ 34,Estimations_Bayes_h80_R100_ 35,Estimations_Bayes_h80_R100_ 36,Estimations_Bayes_h80_R100_ 37,Estimations_Bayes_h80_R100_ 38,Estimations_Bayes_h80_R100_ 39,Estimations_Bayes_h80_R100_ 40,Estimations_Bayes_h80_R100_ 41,Estimations_Bayes_h80_R100_ 42,Estimations_Bayes_h80_R100_ 43,Estimations_Bayes_h80_R100_ 44,Estimations_Bayes_h80_R100_ 45,Estimations_Bayes_h80_R100_ 46,Estimations_Bayes_h80_R100_ 47,Estimations_Bayes_h80_R100_ 48,Estimations_Bayes_h80_R100_ 49,Estimations_Bayes_h80_R100_ 50,Estimations_Bayes_h80_R100_ 51,Estimations_Bayes_h80_R100_ 52,Estimations_Bayes_h80_R100_ 53,Estimations_Bayes_h80_R100_ 54,Estimations_Bayes_h80_R100_ 55,Estimations_Bayes_h80_R100_ 56,Estimations_Bayes_h80_R100_ 57,Estimations_Bayes_h80_R100_ 58,Estimations_Bayes_h80_R100_ 59,Estimations_Bayes_h80_R100_ 60,Estimations_Bayes_h80_R100_ 61,Estimations_Bayes_h80_R100_ 62,Estimations_Bayes_h80_R100_ 63,Estimations_Bayes_h80_R100_ 64,Estimations_Bayes_h80_R100_ 65,Estimations_Bayes_h80_R100_ 66,Estimations_Bayes_h80_R100_ 67,Estimations_Bayes_h80_R100_ 68,Estimations_Bayes_h80_R100_ 69,Estimations_Bayes_h80_R100_ 70,Estimations_Bayes_h80_R100_ 71,Estimations_Bayes_h80_R100_ 72,Estimations_Bayes_h80_R100_ 73,Estimations_Bayes_h80_R100_ 74,Estimations_Bayes_h80_R100_ 75,Estimations_Bayes_h80_R100_ 76,Estimations_Bayes_h80_R100_ 77,Estimations_Bayes_h80_R100_ 78,Estimations_Bayes_h80_R100_ 79,Estimations_Bayes_h80_R100_ 80,Estimations_Bayes_h80_R100_ 81,Estimations_Bayes_h80_R100_ 82,Estimations_Bayes_h80_R100_ 83,Estimations_Bayes_h80_R100_ 84,Estimations_Bayes_h80_R100_ 85,Estimations_Bayes_h80_R100_ 86,Estimations_Bayes_h80_R100_ 87,Estimations_Bayes_h80_R100_ 88,Estimations_Bayes_h80_R100_ 89,Estimations_Bayes_h80_R100_ 90,Estimations_Bayes_h80_R100_ 91,Estimations_Bayes_h80_R100_ 92,Estimations_Bayes_h80_R100_ 93,Estimations_Bayes_h80_R100_ 94,Estimations_Bayes_h80_R100_ 95,Estimations_Bayes_h80_R100_ 96,Estimations_Bayes_h80_R100_ 97,Estimations_Bayes_h80_R100_ 98,Estimations_Bayes_h80_R100_ 99,Estimations_Bayes_h80_R100_100,Estimations_Bayes_h80_R100_101
249,171,35,62,0,52,164,35,54,81,59,48,193,196,92,11,25,133,56,120,69,61,28,48,84,41,96,10,108,73,78,31,111,84,221,121,191,169,52,105,172,42,15,80,19,51,36,136,138,63,1,8,82,15,80,121,63,33,30,75,92,230,22,151,159,101,170,6,71,40,175,77,72,163,153,11,12,34,9,246,187,17,18,6,45,107,165,44,6,95,1,16,90,64,219,32,72,99,31,39,74
253,281,100,200,60,186,242,261,164,197,104,276,266,371,218,126,42,170,150,254,89,109,103,125,106,78,287,211,156,167,254,104,129,370,266,165,381,360,108,223,190,178,135,180,51,276,217,243,246,65,8,50,114,69,227,130,123,257,150,126,304,250,125,273,217,145,186,51,194,51,221,191,208,228,265,219,84,169,176,371,191,135,135,25,228,156,431,87,72,154,74,64,261,75,226,111,214,270,255,66,130
273,290,322,233,96,221,285,291,179,220,185,529,277,406,239,234,55,199,208,473,163,192,147,128,148,216,290,381,215,181,383,133,142,587,335,262,454,429,258,362,212,235,259,231,80,330,359,338,345,122,133,107,222,168,305,163,162,468,228,203,465,289,270,323,374,152,231,66,377,124,284,290,486,329,369,398,98,171,325,496,424,173,216,191,406,242,693,177,144,197,142,70,442,154,277,311,312,464,332,137,130
309,294,364,297,120,266,355,300,225,347,272,548,373,406,342,287,152,207,233,525,258,197,189,213,170,300,404,450,286,263,475,169,209,658,527,455,700,505,282,445,299,371,357,406,153,335,485,400,450,168,215,131,340,185,347,266,216,509,250,281,509,290,322,461,414,250,245,180,484,200,359,294,519,354,444,448,164,249,465,507,468,314,295,193,443,271,745,180,147,400,250,76,596,329,425,314,331,653,381,149,262
320,303,421,433,219,403,387,395,285,404,342,623,472,438,350,500,431,315,308,617,417,229,227,281,171,318,416,495,338,423,675,269,238,723,671,499,813,580,411,591,394,424,409,470,225,506,561,583,571,331,293,139,411,266,466,282,303,604,444,381,532,432,356,485,455,378,271,204,497,302,520,297,624,420,570,458,318,392,510,549,667,471,509,291,574,332,764,307,196,487,307,94,625,420,441,333,372,668,468,364,408
336,399,544,457,330,563,414,419,335,428,354,826,497,576,429,532,569,323,482,681,577,369,251,340,233,377,460,504,645,605,719,394,248,764,779,560,1067,654,449,641,609,735,425,615,332,579,642,747,639,510,388,187,638,313,523,429,549,643,444,461,635,447,433,510,528,526,356,213,605,344,618,458,636,641,598,518,341,539,562,593,691,560,575,390,575,346,794,355,202,535,365,114,800,439,537,498,459,692,539,403,652
408,557,592,546,508,589,422,486,375,447,456,923,582,632,609,697,600,324,597,707,735,501,349,476,233,465,476,530,715,699,729,415,320,800,790,677,1112,758,590,717,645,841,437,766,436,582,650,775,733,650,514,281,661,369,630,444,586,742,610,542,656,617,489,578,602,625,445,257,615,367,700,520,727,675,613,592,402,566,652,764,763,634,585,485,740,351,888,422,266,667,396,261,907,480,547,607,505,847,572,449,653
640,663,702,553,530,667,448,623,434,563,462,1062,656,738,638,906,736,334,741,778,852,571,498,667,387,547,553,650,749,813,774,483,457,970,889,740,1270,918,608,774,706,846,465,858,513,658,747,903,844,758,710,469,819,448,747,468,761,968,670,601,713,666,511,600,623,693,497,272,859,464,871,582,971,789,787,722,411,715,826,779,782,693,586,560,913,379,980,545,425,736,449,303,948,741,590,628,552,1160,609,567,743
855,764,825,578,584,771,450,646,500,726,543,1130,785,799,700,998,903,410,898,891,894,627,664,694,409,611,615,701,770,887,825,569,537,983,952,821,1301,1041,616,891,1044,873,662,904,563,765,800,1074,956,840,791,473,837,503,809,598,895,1076,864,682,793,946,595,638,710,753,575,508,947,477,888,762,986,876,932,792,425,759,895,872,858,737,685,635,967,438,1034,650,600,749,540,389,962,757,796,664,610,1337,720,664,845
869,788,893,711,737,818,452,647,720,785,632,1222,918,888,757,1032,942,664,977,1019,1235,684,761,809,517,659,618,783,785,994,866,720,709,988,1064,832,1458,1218,693,942,1174,914,860,995,641,809,855,1107,1015,932,913,553,906,638,927,778,908,1077,1028,761,909,975,695,640,853,771,658,667,1023,665,964,791,1070,924,977,845,632,763,926,878,1011,760,753,798,978,477,1071,778,734,874,567,391,1160,983,905,754,668,1404,736,771,860
