Estimations_DR2_h80_R100_  1,Estimations_DR2_h80_R100_  2,Estimations_DR2_h80_R100_  3,Estimations_DR2_h80_R100_  4,Estimations_DR2_h80_R100_  5,Estimations_DR2_h80_R100_  6,Estimations_DR2_h80_R100_  7,Estimations_DR2_h80_R100_  8,Estimations_DR2_h80_R100_  9,Estimations_DR2_h80_R100_ 10,Estimations_DR2_h80_R100_ 11,Estimations_DR2_h80_R100_ 12,Estimations_DR2_h80_R100_ 13,Estimations_DR2_h80_R100_ 14,Estimations_DR2_h80_R100_ 15,Estimations_DR2_h80_R100_ 16,Estimations_DR2_h80_R100_ 17,Estimations_DR2_h80_R100_ 18,Estimations_DR2_h80_R100_ 19,Estimations_DR2_h80_R100_ 20,Estimations_DR2_h80_R100_ 21,Estimations_DR2_h80_R100_ 22,Estimations_DR2_h80_R100_ 23,Estimations_DR2_h80_R100_ 24,Estimations_DR2_h80_R100_ 25,Estimations_DR2_h80_R100_ 26,Estimations_DR2_h80_R100_ 27,Estimations_DR2_h80_R100_ 28,Estimations_DR2_h80_R100_ 29,Estimations_DR2_h80_R100_ 30,Estimations_DR2_h80_R100_ 31,Estimations_DR2_h80_R100_ 32,Estimations_DR2_h80_R100_ 33,Estimations_DR2_h80_R100_ 34,Estimations_DR2_h80_R100_ 35,Estimations_DR2_h80_R100_ 36,Estimations_DR2_h80_R100_ 37,Estimations_DR2_h80_R100_ 38,Estimations_DR2_h80_R100_ 39,Estimations_DR2_h80_R100_ 40,Estimations_DR2_h80_R100_ 41,Estimations_DR2_h80_R100_ 42,Estimations_DR2_h80_R100_ 43,Estimations_DR2_h80_R100_ 44,Estimations_DR2_h80_R100_ 45,Estimations_DR2_h80_R100_ 46,Estimations_DR2_h80_R100_ 47,Estimations_DR2_h80_R100_ 48,Estimations_DR2_h80_R100_ 49,Estimations_DR2_h80_R100_ 50,Estimations_DR2_h80_R100_ 51,Estimations_DR2_h80_R100_ 52,Estimations_DR2_h80_R100_ 53,Estimations_DR2_h80_R100_ 54,Estimations_DR2_h80_R100_ 55,Estimations_DR2_h80_R100_ 56,Estimations_DR2_h80_R100_ 57,Estimations_DR2_h80_R100_ 58,Estimations_DR2_h80_R100_ 59,Estimations_DR2_h80_R100_ 60,Estimations_DR2_h80_R100_ 61,Estimations_DR2_h80_R100_ 62,Estimations_DR2_h80_R100_ 63,Estimations_DR2_h80_R100_ 64,Estimations_DR2_h80_R100_ 65,Estimations_DR2_h80_R100_ 66,Estimations_DR2_h80_R100_ 67,Estimations_DR2_h80_R100_ 68,Estimations_DR2_h80_R100_ 69,Estimations_DR2_h80_R100_ 70,Estimations_DR2_h80_R100_ 71,Estimations_DR2_h80_R100_ 72,Estimations_DR2_h80_R100_ 73,Estimations_DR2_h80_R100_ 74,Estimations_DR2_h80_R100_ 75,Estimations_DR2_h80_R100_ 76,Estimations_DR2_h80_R100_ 77,Estimations_DR2_h80_R100_ 78,Estimations_DR2_h80_R100_ 79,Estimations_DR2_h80_R100_ 80,Estimations_DR2_h80_R100_ 81,Estimations_DR2_h80_R100_ 82,Estimations_DR2_h80_R100_ 83,Estimations_DR2_h80_R100_ 84,Estimations_DR2_h80_R100_ 85,Estimations_DR2_h80_R100_ 86,Estimations_DR2_h80_R100_ 87,Estimations_DR2_h80_R100_ 88,Estimations_DR2_h80_R100_ 89,Estimations_DR2_h80_R100_ 90,Estimations_DR2_h80_R100_ 91,Estimations_DR2_h80_R100_ 92,Estimations_DR2_h80_R100_ 93,Estimations_DR2_h80_R100_ 94,Estimations_DR2_h80_R100_ 95,Estimations_DR2_h80_R100_ 96,Estimations_DR2_h80_R100_ 97,Estimations_DR2_h80_R100_ 98,Estimations_DR2_h80_R100_ 99,Estimations_DR2_h80_R100_100,Estimations_DR2_h80_R100_101
262,160,21,21,17,67,158,9,43,80,79,80,183,194,100,6,48,126,21,113,93,96,34,44,98,37,63,2,116,54,42,29,121,70,213,146,202,173,47,120,173,9,13,104,22,44,25,146,134,37,5,17,96,44,69,128,42,49,38,48,97,248,2,139,166,130,188,13,68,59,187,79,78,147,147,2,13,31,28,234,192,26,2,7,30,93,149,43,6,86,16,20,99,40,224,51,75,98,1,40,88
285,224,64,46,142,139,200,293,168,199,180,388,264,362,213,96,111,181,35,227,170,230,105,106,155,54,335,185,161,188,315,107,156,388,311,250,406,381,80,227,218,221,121,318,63,296,218,282,234,96,10,97,132,61,239,144,152,243,138,168,360,280,151,221,179,245,247,44,209,121,253,207,244,299,269,229,98,190,237,373,232,137,86,60,250,143,314,114,113,136,48,68,299,79,262,194,220,276,286,70,182
331,296,292,58,263,257,297,309,184,222,200,633,319,420,229,169,119,201,62,512,291,249,132,114,235,231,440,342,190,228,394,112,173,622,319,327,497,474,154,288,257,257,199,523,86,322,406,400,288,146,146,206,331,159,330,216,172,468,229,309,607,387,245,226,212,328,269,71,411,241,323,333,491,323,372,375,131,229,417,457,526,158,151,153,413,212,462,137,274,168,76,93,512,130,262,313,301,479,307,142,219
357,353,320,100,278,381,357,310,297,352,251,678,323,451,335,228,230,204,128,566,345,306,173,173,294,349,624,385,248,402,437,194,180,674,467,541,743,568,197,485,283,294,255,756,138,325,469,452,441,175,276,250,524,199,383,280,187,477,231,345,742,455,365,366,325,484,291,186,512,289,367,360,549,360,444,499,200,325,463,522,545,251,184,247,444,305,682,243,396,266,226,130,646,275,326,397,386,668,538,149,387
421,402,365,219,320,452,418,431,447,457,362,758,342,481,393,430,467,353,272,655,568,412,198,279,314,376,695,518,277,624,662,241,193,691,623,574,790,661,313,532,357,312,302,846,167,490,590,664,555,280,296,286,535,347,516,313,207,578,406,532,822,558,422,413,326,692,397,202,528,322,511,363,700,371,577,586,349,500,478,565,766,500,323,416,576,389,690,251,508,430,270,197,689,355,415,520,433,678,766,354,477
471,464,492,249,388,577,421,524,579,494,425,962,400,580,542,453,664,456,462,664,802,482,206,358,375,452,825,640,459,791,752,361,214,825,699,615,945,754,422,677,564,598,318,1032,230,607,592,860,607,476,335,350,689,386,573,526,513,644,456,595,935,559,458,446,387,933,407,232,595,438,570,547,749,618,587,627,407,638,492,586,774,698,396,549,605,397,692,384,548,531,350,234,891,368,580,779,459,682,958,398,672
566,641,534,251,623,646,451,668,587,515,580,1041,446,677,724,601,753,542,598,761,1051,590,361,462,404,518,919,676,486,948,804,396,309,972,705,734,1048,878,691,821,590,702,323,1185,317,656,624,913,666,606,414,436,711,393,650,593,529,742,660,720,975,800,590,587,408,1096,552,266,632,501,633,631,830,649,603,787,493,671,533,747,875,789,450,622,695,423,745,489,619,671,361,427,962,382,599,868,530,913,1069,450,687
748,812,623,355,683,648,460,828,589,605,692,1159,454,750,748,873,920,600,726,813,1270,688,612,667,489,550,1017,851,494,1150,836,477,428,1029,778,818,1268,1027,846,884,658,734,352,1315,398,718,719,1050,865,661,648,613,842,440,707,639,756,1006,722,856,1016,929,690,625,486,1153,623,286,903,686,819,704,1066,768,736,850,506,812,755,834,933,801,541,777,819,523,807,646,804,769,399,451,1040,701,723,905,588,1246,1177,580,774
871,974,776,376,824,812,474,875,620,780,809,1167,485,850,835,986,1091,642,836,931,1304,744,651,729,534,563,1082,913,542,1293,946,531,488,1048,842,911,1293,1177,968,987,1020,775,546,1397,443,802,757,1266,1095,663,810,620,861,473,726,707,771,1130,963,864,1086,1255,792,653,554,1161,753,545,993,770,851,888,1075,861,887,978,534,813,765,1037,956,834,748,956,880,611,831,692,968,853,510,519,1075,771,851,909,668,1473,1226,672,874
966,1042,802,464,913,827,499,962,726,825,890,1172,522,952,840,1051,1099,910,902,1086,1708,751,699,824,681,690,1088,1131,560,1422,1075,656,678,1050,997,944,1495,1422,1024,1016,1189,810,763,1523,518,841,784,1311,1227,859,811,723,911,627,944,857,939,1204,1200,882,1148,1288,877,667,715,1273,769,718,1048,893,964,906,1128,888,975,1043,712,877,971,1133,1125,852,889,1228,956,640,921,778,1104,1055,519,526,1239,1024,989,948,796,1547,1263,763,918
