Estimations_SA1_h8_R100_  1,Estimations_SA1_h8_R100_  2,Estimations_SA1_h8_R100_  3,Estimations_SA1_h8_R100_  4,Estimations_SA1_h8_R100_  5,Estimations_SA1_h8_R100_  6,Estimations_SA1_h8_R100_  7,Estimations_SA1_h8_R100_  8,Estimations_SA1_h8_R100_  9,Estimations_SA1_h8_R100_ 10,Estimations_SA1_h8_R100_ 11,Estimations_SA1_h8_R100_ 12,Estimations_SA1_h8_R100_ 13,Estimations_SA1_h8_R100_ 14,Estimations_SA1_h8_R100_ 15,Estimations_SA1_h8_R100_ 16,Estimations_SA1_h8_R100_ 17,Estimations_SA1_h8_R100_ 18,Estimations_SA1_h8_R100_ 19,Estimations_SA1_h8_R100_ 20,Estimations_SA1_h8_R100_ 21,Estimations_SA1_h8_R100_ 22,Estimations_SA1_h8_R100_ 23,Estimations_SA1_h8_R100_ 24,Estimations_SA1_h8_R100_ 25,Estimations_SA1_h8_R100_ 26,Estimations_SA1_h8_R100_ 27,Estimations_SA1_h8_R100_ 28,Estimations_SA1_h8_R100_ 29,Estimations_SA1_h8_R100_ 30,Estimations_SA1_h8_R100_ 31,Estimations_SA1_h8_R100_ 32,Estimations_SA1_h8_R100_ 33,Estimations_SA1_h8_R100_ 34,Estimations_SA1_h8_R100_ 35,Estimations_SA1_h8_R100_ 36,Estimations_SA1_h8_R100_ 37,Estimations_SA1_h8_R100_ 38,Estimations_SA1_h8_R100_ 39,Estimations_SA1_h8_R100_ 40,Estimations_SA1_h8_R100_ 41,Estimations_SA1_h8_R100_ 42,Estimations_SA1_h8_R100_ 43,Estimations_SA1_h8_R100_ 44,Estimations_SA1_h8_R100_ 45,Estimations_SA1_h8_R100_ 46,Estimations_SA1_h8_R100_ 47,Estimations_SA1_h8_R100_ 48,Estimations_SA1_h8_R100_ 49,Estimations_SA1_h8_R100_ 50,Estimations_SA1_h8_R100_ 51,Estimations_SA1_h8_R100_ 52,Estimations_SA1_h8_R100_ 53,Estimations_SA1_h8_R100_ 54,Estimations_SA1_h8_R100_ 55,Estimations_SA1_h8_R100_ 56,Estimations_SA1_h8_R100_ 57,Estimations_SA1_h8_R100_ 58,Estimations_SA1_h8_R100_ 59,Estimations_SA1_h8_R100_ 60,Estimations_SA1_h8_R100_ 61,Estimations_SA1_h8_R100_ 62,Estimations_SA1_h8_R100_ 63,Estimations_SA1_h8_R100_ 64,Estimations_SA1_h8_R100_ 65,Estimations_SA1_h8_R100_ 66,Estimations_SA1_h8_R100_ 67,Estimations_SA1_h8_R100_ 68,Estimations_SA1_h8_R100_ 69,Estimations_SA1_h8_R100_ 70,Estimations_SA1_h8_R100_ 71,Estimations_SA1_h8_R100_ 72,Estimations_SA1_h8_R100_ 73,Estimations_SA1_h8_R100_ 74,Estimations_SA1_h8_R100_ 75,Estimations_SA1_h8_R100_ 76,Estimations_SA1_h8_R100_ 77,Estimations_SA1_h8_R100_ 78,Estimations_SA1_h8_R100_ 79,Estimations_SA1_h8_R100_ 80,Estimations_SA1_h8_R100_ 81,Estimations_SA1_h8_R100_ 82,Estimations_SA1_h8_R100_ 83,Estimations_SA1_h8_R100_ 84,Estimations_SA1_h8_R100_ 85,Estimations_SA1_h8_R100_ 86,Estimations_SA1_h8_R100_ 87,Estimations_SA1_h8_R100_ 88,Estimations_SA1_h8_R100_ 89,Estimations_SA1_h8_R100_ 90,Estimations_SA1_h8_R100_ 91,Estimations_SA1_h8_R100_ 92,Estimations_SA1_h8_R100_ 93,Estimations_SA1_h8_R100_ 94,Estimations_SA1_h8_R100_ 95,Estimations_SA1_h8_R100_ 96,Estimations_SA1_h8_R100_ 97,Estimations_SA1_h8_R100_ 98,Estimations_SA1_h8_R100_ 99,Estimations_SA1_h8_R100_100,Estimations_SA1_h8_R100_101
2607,2367,2462,2610,2461,2443,2570,2423,2384,2497,2418,2486,2315,2517,2603,2550,2393,2589,2808,2469,2308,2406,2551,2698,2685,2343,2598,2637,2654,2546,2743,2293,2363,2111,2361,2462,2483,2231,2510,2366,2128,2558,2462,2210,2423,2463,2370,2534,2563,2559,2506,2350,2628,2557,2583,2641,2532,2643,2197,2727,2532,2593,2251,2725,2388,2634,2684,2376,2397,2441,2378,2251,2460,2544,2579,2269,2585,2278,2435,2472,2463,2668,2585,2607,2469,2485,2479,2527,2576,2567,2444,2235,2580,2255,2190,2311,2603,2629,2661,2581,2356
5214,4734,4924,5220,4922,4886,5140,4846,4948,4994,4836,4972,5064,5034,5206,5100,4786,5178,5616,4938,4616,4812,5102,5396,5370,4686,5196,5274,5308,5092,5486,4586,4726,4222,4722,4924,4966,4462,5020,4732,4256,5116,4924,4420,4846,4926,4740,5068,5126,5118,5012,4700,5256,5114,5166,5282,5064,5286,4394,5454,5064,4952,4502,5450,4776,5268,5368,4752,4794,4882,4756,4502,5091,5088,5158,4538,5170,4556,4870,4944,4926,5336,5170,5214,4938,4970,4958,5054,5152,5134,4888,4470,5160,4510,4380,4622,5206,5258,5322,5162,4712
7821,7101,7386,7830,7383,7329,7710,7269,7512,7491,7254,7458,7813,7551,7809,7650,7179,7767,8424,7407,6924,7218,7653,8094,8055,7029,7794,7911,7962,7638,8229,6879,7089,6761,7083,7386,7449,6693,7530,7359,6384,7674,7386,6630,7388,7389,7110,7602,7689,7677,7518,7050,7884,7671,7749,7923,7596,7929,6591,8181,7596,7311,6753,8175,7164,7902,8052,7128,7191,7323,7134,6753,7722,7632,7737,6807,7755,6834,7305,7416,7389,8004,7755,7821,7296,7455,7437,7581,7728,7701,7332,6705,7740,6765,6570,6933,7809,7887,7983,7743,7068
10428,9468,9848,10440,9844,9772,10280,9692,10076,9988,9672,9944,10562,10068,10412,10200,9572,10356,11232,9876,9232,9693,10204,10792,10740,9347,10392,10548,10616,10184,10972,9172,9452,9300,9444,9848,9932,8924,10040,9986,8787,10232,9848,8840,9930,9852,9480,10136,10252,10236,10024,9400,10512,10228,10332,10564,10128,10572,8788,10908,10128,9670,9004,10900,9552,10442,10736,9504,9588,9764,9512,9324,10353,10176,10316,9076,10340,9112,9740,9888,9852,10672,10340,10428,9654,9940,9916,10108,10304,10268,9776,8940,10320,9020,8891,9244,10412,10516,10644,10324,9424
10457,9543,9883,10470,9875,9875,10301,9707,10118,10049,9700,9979,10568,10128,10478,10209,9753,10424,11296,9918,9284,9718,10232,10802,10815,9355,10416,10565,10703,10313,11016,9223,9494,9425,9528,9860,9937,8954,10108,10109,8990,10257,9860,8859,9958,9861,9530,10160,10292,10236,10156,9496,10533,10340,10360,10616,10152,10662,8823,10937,10130,9775,9061,10936,9591,10489,10754,9545,9703,9889,9541,9539,10384,10201,10323,9170,10467,9135,9830,10037,9925,10741,10429,10432,9705,10020,9958,10112,10344,10288,9822,8956,10351,9052,8995,9275,10456,10647,10864,10452,9483
10506,9596,9907,10557,9885,9982,10409,9710,10159,10142,9755,10020,10583,10168,10507,10261,9902,10427,11361,9947,9339,9784,10279,10823,10945,9401,10442,10726,10793,10427,11280,9243,9554,9501,9659,9973,9960,8976,10248,10195,9178,10305,9941,8877,10064,9892,9576,10241,10306,10264,10226,9554,10617,10394,10420,10647,10263,10741,8922,10939,10173,9919,9169,10980,9654,10576,10774,9582,9715,10020,9611,9638,10408,10219,10331,9530,10513,9199,9908,10123,10002,10762,10478,10444,9768,10057,9975,10139,10398,10370,9869,8973,10439,9117,9039,9297,10484,10844,11009,10536,9528
10590,9608,9916,10620,9931,10163,10560,9743,10215,10249,9798,10113,10633,10174,10526,10349,10033,10464,11490,9955,9398,9823,10301,10850,11059,9475,10470,10865,10875,10500,11425,9337,9641,9622,9734,10113,9971,9038,10303,10261,9294,10396,10013,8887,10167,9906,9595,10354,10308,10323,10267,9643,10652,10405,10458,10690,10400,10752,9051,10948,10197,9984,9252,11070,9718,10678,10797,9590,9791,10190,9652,9648,10447,10305,10436,9810,10537,9342,9981,10192,10045,10801,10500,10489,9802,10061,10055,10140,10507,10409,9871,9023,10519,9206,9098,9307,10490,11003,11103,10554,9540
10644,9692,9916,10646,9990,10296,10674,9766,10263,10356,9860,10218,10760,10270,10539,10365,10099,10474,11631,10185,9524,9834,10372,10859,11180,9577,10483,11000,10969,10517,11471,9340,9691,9629,9777,10177,10048,9076,10320,10291,9377,10445,10095,8967,10289,9930,9601,10520,10331,10429,10448,9769,10725,10451,10474,10706,10467,10830,9140,11008,10246,10019,9356,11173,9724,10744,10851,9663,9807,10279,9727,9681,10454,10402,10510,9860,10653,9492,9998,10274,10054,10835,10555,10539,9817,10090,10084,10157,10541,10412,9872,9111,10573,9245,9104,9567,10499,11110,11164,10583,9596
10673,9707,9946,10669,10055,10336,10767,9792,10269,10430,9921,10542,10860,10385,10598,10387,10152,10502,11780,10399,9717,9850,10492,11209,11188,9619,10504,11095,11013,10536,11522,9350,9718,9759,9783,10238,10136,9105,10365,10336,9436,10568,10152,9465,10329,10033,9605,10623,10343,10517,10617,9933,10745,10514,10490,10734,10474,10923,9193,11144,10316,10076,9402,11304,9782,10775,10945,9669,9834,10325,9807,9713,10478,10410,10621,9975,10793,9619,10016,10386,10151,10877,10559,10586,9824,10114,10112,10174,10590,10415,9884,9235,10613,9253,9142,9725,10523,11217,11235,10644,9667
10743,9748,9953,10714,10104,10367,10788,9796,10289,10465,9935,10794,11022,10480,10676,10392,10210,10554,11850,10609,9775,9855,10660,11449,11190,9629,10522,11160,11031,10558,11603,9372,9760,9894,9794,10278,10153,9229,10376,10411,9462,10681,10158,9798,10334,10092,9641,10712,10368,10544,10688,10053,10760,10571,10534,10779,10488,11026,9252,11234,10318,10084,9441,11372,9826,10839,10997,9700,9927,10355,9839,9748,10662,10451,10693,10032,10955,9683,10052,10421,10317,10996,10628,10590,9865,10126,10135,10263,10626,10446,9903,9349,10624,9298,9185,9817,10535,11309,11258,10684,9726
